date,pm2_5,pm10,no2,so2,co,o3,temperature,humidity,wind_speed,wind_direction,pressure,aqi,day_of_week,month,aqi_t-1,aqi_t-2,aqi_t-3,7_day_avg_aqi,14_day_avg_aqi,aqi_tomorrow
2024-01-14,8.358692245189062,29.178868637570254,9.112248104798693,2.461990375145651,168.67976453545091,20.029419248149736,4.300969304554817,50.95763716682691,2.801201548073361,39,1018.7322043520037,57,6,1,66.0,58.0,60.0,51.285714285714285,51.142857142857146,37.0
2024-01-15,5.20678989474939,15.288694763060969,10.281032228781417,2.185552121712233,230.54344214834086,12.34099728056396,4.883067433521381,74.9181043148918,6.785156923116926,100,1008.1331058098648,37,0,1,57.0,66.0,58.0,45.57142857142857,48.07142857142857,52.0
2024-01-16,6.260900215356452,16.352230859956556,11.84235842438967,4.590818725040059,249.24872981267617,27.06749530613493,8.390915318097761,57.78365017557759,4.067737428948448,110,1018.0356666823658,52,1,1,37.0,57.0,66.0,50.0,50.0,49.0
2024-01-17,8.523214092433829,13.957883203500874,17.98289648006287,1.5931921146886918,261.3951783940836,21.868930262020406,7.062181688123197,49.95472911979392,3.926476973155005,320,1014.6807248151312,49,2,1,52.0,37.0,57.0,54.142857142857146,48.57142857142857,80.0
2024-01-18,12.6444190209054,37.67133596434305,15.764193412140628,3.230726681818955,243.51646277918718,32.938047056526884,11.069247573845958,49.6265178725338,1.6455403619695794,248,1011.8626187002329,80,3,1,49.0,52.0,37.0,57.0,52.5,38.0
2024-01-19,2.824193652724344,7.788887543038079,14.613367863933739,2.243212896840764,206.04997989475942,15.628546583159554,7.431189605915444,53.080932115099074,6.157734999881092,190,1008.88032256514,38,4,1,80.0,49.0,52.0,54.142857142857146,50.142857142857146,53.0
2024-01-20,11.32666628409103,27.282246829664793,9.430903008845704,1.856946135473732,192.76199452407195,25.8297160571638,5.950024193278032,61.26664736738015,2.411793839995501,181,1009.4044527427541,53,5,1,38.0,80.0,49.0,52.285714285714285,51.714285714285715,32.0
2024-01-21,2.2316120499162295,17.910519687576546,11.519255805861699,9.904484039122561,177.6631251058285,32.943070392631284,14.618462891708095,57.91912343450095,4.618021262248522,334,1023.2490604789297,32,6,1,53.0,38.0,80.0,48.714285714285715,50.0,46.0
2024-01-22,9.652456527050425,26.587269455591123,12.45268544702933,3.3518933570015523,242.40751006646332,26.501181314862784,9.581666546816189,49.47216668720611,5.148412779302316,208,1013.0034140947874,46,0,1,32.0,53.0,38.0,50.0,47.785714285714285,25.0
2024-01-23,1.0,11.201728440039043,15.916996705927787,3.6937151686864502,267.1431677684658,9.667018636316948,10.5019453955487,54.50548137961582,8.849219808652233,21,1016.9106500076573,25,1,1,46.0,32.0,53.0,46.142857142857146,48.07142857142857,37.0
2024-01-24,12.653751445029023,20.472297876106452,12.80623629356113,4.801308045813444,280.49277192965513,20.092277571285884,6.068356064811081,78.3885255537131,2.329351261900718,165,1009.0455030916622,37,2,1,25.0,46.0,32.0,44.42857142857143,49.285714285714285,58.0
2024-01-25,10.262957032217363,21.345811369489624,12.307021844174837,1.3355257403716947,193.96176861024216,23.793182625568985,8.755553987701443,72.89765470715639,0.9902913582287921,98,1009.1007352688918,58,3,1,37.0,25.0,46.0,41.285714285714285,49.142857142857146,35.0
2024-01-26,3.099019403564077,15.587530795558726,13.087537695524965,6.528295965987081,258.6852729984414,23.692813350625553,10.770419503210542,58.97802694513505,4.913196618216347,207,1018.4099240462497,35,4,1,58.0,37.0,25.0,40.857142857142854,47.5,30.0
2024-01-27,1.0,7.564129650065018,9.71164436238368,0.7753206531116423,155.0269110486551,12.521939814841737,7.036454104781557,56.86180772929123,11.025994162704116,7,1006.2521189422423,30,5,1,35.0,58.0,37.0,37.57142857142857,44.92857142857143,16.0
2024-01-28,1.0,12.516797299993838,10.397457344539221,1.850797810375399,181.9875470951852,12.652316367963671,11.67113018076559,55.36474817679982,8.32674960434675,189,1010.9239311604737,16,6,1,30.0,35.0,58.0,35.285714285714285,42.0,51.0
2024-01-29,8.242240052901112,25.772077123427376,15.706367385333344,2.1608121867611447,252.55854404749158,19.913293275083788,8.799523350824632,61.735418051891855,4.977011983440405,174,1013.1701370553611,51,0,1,16.0,30.0,35.0,36.0,43.0,95.0
2024-01-30,21.512595406605747,47.081407538909126,3.9349041257146666,3.6359182133540457,262.714530528811,12.472145793375326,9.786546462390918,44.87880111682048,3.504969810504483,272,1013.5568630092002,95,1,1,51.0,16.0,30.0,46.0,46.07142857142857,57.0
2024-01-31,7.407813675103883,14.980823723592408,12.577048326759705,3.0324143974773867,240.0150477101069,24.280674657963296,8.919463327519843,52.96650296200662,6.709747355374686,16,1012.1045335749192,57,2,1,95.0,51.0,16.0,48.857142857142854,46.642857142857146,48.0
2024-02-01,6.1459445757497555,30.202147138519408,13.825290067931881,2.5007548583809207,212.53519776361696,26.38411347939553,16.347121676360466,35.14059842304387,2.754475105539584,89,1014.9790989054796,48,3,2,57.0,95.0,51.0,47.42857142857143,44.357142857142854,36.0
2024-02-02,1.1948022314210802,15.629600069902272,19.51518611582499,2.702024556287835,240.99263617486665,20.403436436798007,10.818228443932862,58.58311700408636,5.686977345047178,140,1016.4642787790891,36,4,2,48.0,57.0,95.0,47.57142857142857,44.214285714285715,26.0
2024-02-03,1.0,11.49142923165468,8.231994522397523,1.6669381295597725,180.69586689195697,16.001589424075842,7.75672908510594,62.59359485447444,5.7703635160457365,144,1016.6731877272966,26,5,2,36.0,48.0,57.0,47.0,42.285714285714285,37.0
2024-02-04,1.0,16.947682915383204,10.841872898009814,1.285803484564464,189.2154926014531,25.084870415453228,13.471326039787133,48.432472357112694,7.614885527629038,165,1008.0709809566608,37,6,2,26.0,36.0,48.0,50.0,42.642857142857146,27.0
2024-02-05,1.0,23.327038859999867,19.485090929207512,3.90889924431087,226.5633739905495,0.0,7.417655585491448,72.0310398401546,15.0,336,1011.579224510356,27,0,2,37.0,26.0,36.0,46.57142857142857,41.285714285714285,44.0
2024-02-06,4.325057849761678,9.29398626935817,11.061094410158182,3.845305510115551,270.54120853746036,21.16583673729125,11.78591568558063,41.84938552718627,5.453229399695807,77,1018.9738143093847,44,1,2,27.0,37.0,26.0,39.285714285714285,42.642857142857146,33.0
2024-02-07,9.331996611213025,22.87168170436277,16.181925677593206,6.002927023826441,237.04255420706957,18.548461930251953,5.362072576918244,42.67521490944267,3.4747348958627695,261,1017.4732359378694,33,2,2,44.0,27.0,37.0,35.857142857142854,42.357142857142854,26.0
2024-02-08,5.9484641334824175,7.030537900856984,12.59318449819644,1.8312365546623754,257.2489976318905,16.96740191776585,7.340878306008739,58.57407903259536,4.424745859388484,162,1006.1357027425947,26,3,2,33.0,44.0,27.0,32.714285714285715,40.07142857142857,56.0
2024-02-09,6.376986609005023,20.52873757674766,13.486098773132296,3.843592995927433,239.80212094268734,35.457720888549645,12.002944124849341,64.46951096369688,1.8505114263386622,13,1014.757399501761,56,4,2,26.0,33.0,44.0,35.57142857142857,41.57142857142857,41.0
2024-02-10,3.9211053523980945,17.708629238222848,8.81346724869804,2.358784952492465,177.5503887879694,21.787307120942867,13.717228824710954,69.98066250222321,3.1665524296980267,238,1003.108873753126,41,5,2,56.0,26.0,33.0,37.714285714285715,42.357142857142854,64.0
2024-02-11,8.203594036977229,22.10958047825205,8.963099652326639,4.929499652784677,187.48628688398384,28.066858340556692,12.10792078722513,49.35719697769804,3.6523061169344784,71,1013.2346745103018,64,6,2,41.0,56.0,26.0,41.57142857142857,45.785714285714285,102.0
2024-02-12,20.117376275860206,36.90339655879876,23.165736443719478,4.531175455742623,225.4597184542293,25.681507977211027,11.341348889177201,65.11613388972435,3.4485567184407686,142,1022.4888350837299,102,0,2,64.0,41.0,56.0,52.285714285714285,49.42857142857143,31.0
